text,label
do you have cushions,PILLOWS
distributors/retailers/showrooms,DISTRIBUTORS
i wanna know the difference,COMPARISON
what is minimum down payment,EMI
what are the key features of the sof ortho mattress,ORTHO_FEATURES
do you offer warranty,WARRANTY
is pillows available,PILLOWS
present status,ORDER_STATUS
where can i see the product before i buy,DISTRIBUTORS
exchange,RETURN_EXCHANGE
100 days trial,100_NIGHT_TRIAL_OFFER
type of mattress,PRODUCT_VARIANTS
do you have cod option,COD
nearby show room,DISTRIBUTORS
do you have a showroom,DISTRIBUTORS
rate,MATTRESS_COST
tell me about sof mattresses,ABOUT_SOF_MATTRESS
why so many days,DELAY_IN_DELIVERY
i m looking mattress for slip disc problem,ORTHO_FEATURES
please call me,LEAD_GEN
outlet,DISTRIBUTORS
features of ortho mattress,ORTHO_FEATURES
need a call from your representative,LEAD_GEN
inches,WHAT_SIZE_TO_ORDER
want to know the custom size chart,WHAT_SIZE_TO_ORDER
how does the 100 night trial work,100_NIGHT_TRIAL_OFFER
please call me back,LEAD_GEN
mattress variants,PRODUCT_VARIANTS
trial details,100_NIGHT_TRIAL_OFFER
i have back pain issue,ORTHO_FEATURES
do you have any retailers in pune city,DISTRIBUTORS
mattress cost,MATTRESS_COST
store in,DISTRIBUTORS
customisation is possible?,SIZE_CUSTOMIZATION
cod,COD
i want refund,RETURN_EXCHANGE
warranty,WARRANTY
may i please know about the offers,OFFERS
will i get an option to customise the size,SIZE_CUSTOMIZATION
can you give me 100 night trial,100_NIGHT_TRIAL_OFFER
my order number,ORDER_STATUS
ortho mattress,ORTHO_FEATURES
we want dealer ship,DISTRIBUTORS
how do i return it,RETURN_EXCHANGE
product comparison,COMPARISON
call me now,LEAD_GEN
emi,EMI
discount,OFFERS
i need a call back,LEAD_GEN
where is your showroom,DISTRIBUTORS
can you please deliver on my pincode,CHECK_PINCODE
what about ergo,ERGO_FEATURES
cost of bed,MATTRESS_COST
dealership,DISTRIBUTORS
replacement policy,RETURN_EXCHANGE
tell me about sof ortho mattress,ORTHO_FEATURES
is the 100 night return trial applicable for custom size as well,100_NIGHT_TRIAL_OFFER
how to emi,EMI
want to know the discount,OFFERS
products,PRODUCT_VARIANTS
does mattress cover is included in warranty,WARRANTY
available offers,OFFERS
what are the available sizes?,WHAT_SIZE_TO_ORDER
i want updates of my order,ORDER_STATUS
refund,RETURN_EXCHANGE
can we buy through paisa finance,EMI
where is your showroom,DISTRIBUTORS
share the size structure,WHAT_SIZE_TO_ORDER
connect to an agent,LEAD_GEN
do you have any showrooms in delhi state,DISTRIBUTORS
is delivery possible on this pincode,CHECK_PINCODE
order status,ORDER_STATUS
custom size cost,MATTRESS_COST
installments,EMI
what about my order,ORDER_STATUS
any shop that i can visit,DISTRIBUTORS
can i get pillows?,PILLOWS
what are the sizes available?,WHAT_SIZE_TO_ORDER
do you have store,DISTRIBUTORS
sof ergo features,ERGO_FEATURES
what is the price for size (x ft x y ft)? what is the price for size (x inches x y inches)?,DISTRIBUTORS
can you help with the size?,WHAT_SIZE_TO_ORDER
what are the key features of the sof ergo mattress,ERGO_FEATURES
0% emi,EMI
can mattress size be customised?,SIZE_CUSTOMIZATION
will you be able to deliver here,CHECK_PINCODE
down payments,EMI
mattress price,MATTRESS_COST
do you provide exchange,100_NIGHT_TRIAL_OFFER
need 100 days trial,100_NIGHT_TRIAL_OFFER
can i get free trial,100_NIGHT_TRIAL_OFFER
need to cancel my order,CANCEL_ORDER
shops nearby,DISTRIBUTORS
what are the sof mattress products,PRODUCT_VARIANTS
is emi available,EMI
want to talk to an live agent,LEAD_GEN
cost,MATTRESS_COST
give me some discount,OFFERS
features of ergo mattress,ERGO_FEATURES
track order,ORDER_STATUS
neck pain and back pain,ORTHO_FEATURES
about sof mattress,ABOUT_SOF_MATTRESS
tell me about the product warranty,WARRANTY
order related,ORDER_STATUS
what is sof mattress,ABOUT_SOF_MATTRESS
i did not receive my order yet,DELAY_IN_DELIVERY
can pay later on delivery,COD
it's been 30 days my product haven't received,DELAY_IN_DELIVERY
order status,ORDER_STATUS
comparison,COMPARISON
paisa finance service available,EMI
i want it on 0% interest,EMI
help me with the size chart,WHAT_SIZE_TO_ORDER
how do i return it,RETURN_EXCHANGE
offline stores,DISTRIBUTORS
ergo,ERGO_FEATURES
what is 100 night trial offer,100_NIGHT_TRIAL_OFFER
length,WHAT_SIZE_TO_ORDER
get in touch,LEAD_GEN
what is the cost,MATTRESS_COST
it's been so many days,DELAY_IN_DELIVERY
feet,WHAT_SIZE_TO_ORDER
share warranty information,WARRANTY
ergo features,ERGO_FEATURES
sof ortho,ORTHO_FEATURES
does this have ergonomic support?,ERGO_FEATURES
do you sell pillows?,PILLOWS
who is sof mattress,ABOUT_SOF_MATTRESS
shop near by,DISTRIBUTORS
return,RETURN_EXCHANGE
mattress features,PRODUCT_VARIANTS
low price,MATTRESS_COST
are pillows available,PILLOWS
want to know the price,MATTRESS_COST
do you have any distributors in mumbai city,DISTRIBUTORS
what size to order?,WHAT_SIZE_TO_ORDER
back pain,ORTHO_FEATURES
i am cervical and lombard section problem,ORTHO_FEATURES
demo store,DISTRIBUTORS
emi option,EMI
paisa finance is available,EMI
can i please have the size chart?,WHAT_SIZE_TO_ORDER
is offer available,OFFERS
any discounts,OFFERS
what are the sizes,WHAT_SIZE_TO_ORDER
head office,DISTRIBUTORS
how is sof different from other mattress brands,ABOUT_SOF_MATTRESS
can i get cod option?,COD
almost 1 month over,DELAY_IN_DELIVERY
i need price,MATTRESS_COST
need store,DISTRIBUTORS
how is sof mattress different from,ABOUT_SOF_MATTRESS
state of this order,ORDER_STATUS
where is my product,ORDER_STATUS
is the mattress good for my back,COMPARISON
type of foam used,PRODUCT_VARIANTS
can i cancel my order here,CANCEL_ORDER
cash on delivery is acceptable?,COD
difference between the products,COMPARISON
mattress cost,MATTRESS_COST
i want to check products,PRODUCT_VARIANTS
return my product,RETURN_EXCHANGE
need some help in changing size of the mattress,SIZE_CUSTOMIZATION
mrp,MATTRESS_COST
what is the status?,ORDER_STATUS
what will be the price,MATTRESS_COST
status of my order,ORDER_STATUS
no cost emi is available?,EMI
can i get delivery on this pincode,CHECK_PINCODE
how to order,LEAD_GEN
show more mattress,PRODUCT_VARIANTS
ergo mattress,ERGO_FEATURES
view products,PRODUCT_VARIANTS
it's already one month,DELAY_IN_DELIVERY
it's been a month,DELAY_IN_DELIVERY
i want cancel my order,CANCEL_ORDER
what is sof,ABOUT_SOF_MATTRESS
king size,WHAT_SIZE_TO_ORDER
can i visit sof mattress showroom,DISTRIBUTORS
is it orthopaedic,ORTHO_FEATURES
back ache issue,ORTHO_FEATURES
interested in buying,LEAD_GEN
i am looking the mattress,PRODUCT_VARIANTS
i want to buy on emi,EMI
what are the mattress variants,PRODUCT_VARIANTS
i want to return my mattress,RETURN_EXCHANGE
do you accept paisa emi card,EMI
cancel the order,CANCEL_ORDER
can i do cod?,COD
price,MATTRESS_COST
0% emi.,EMI
can i try a mattress first,100_NIGHT_TRIAL_OFFER
i want to buy this,LEAD_GEN
which mattress to buy?,COMPARISON
6*3,WHAT_SIZE_TO_ORDER
need pair of pillows,PILLOWS
why sof mattress,ABOUT_SOF_MATTRESS
compare ergo & ortho variants,COMPARISON
custom size,SIZE_CUSTOMIZATION
cash on delivery is available,COD
100 night,100_NIGHT_TRIAL_OFFER
order #,ORDER_STATUS
mattress comparison,COMPARISON
distributors,DISTRIBUTORS
help me with exchange process,RETURN_EXCHANGE
product variants,PRODUCT_VARIANTS
how to get in touch?,LEAD_GEN
can you deliver on my pincode,CHECK_PINCODE
paisa finance,EMI
can you make delivery on this pin code?,CHECK_PINCODE
how can i cancel my order,CANCEL_ORDER
want to know about warranty,WARRANTY
i want to cancel my order,CANCEL_ORDER
what is the 100-night offer,100_NIGHT_TRIAL_OFFER
help me with different products,PRODUCT_VARIANTS
it's delayed,DELAY_IN_DELIVERY
i want a call back,LEAD_GEN
cod option is availble?,COD
where is my order,ORDER_STATUS
process of cancelling order,CANCEL_ORDER
schedule a callback,LEAD_GEN
would interested in warranty details,WARRANTY
want to get in touch,LEAD_GEN
i want to buy a mattress,PRODUCT_VARIANTS
customise size,SIZE_CUSTOMIZATION
can i buy pillows from here,PILLOWS
do you deliver to my pincode,CHECK_PINCODE
how much does a sof mattress cost,MATTRESS_COST
i need my order status,ORDER_STATUS
